title,start_date,end_date
hackUST,2016-04-16,2016-04-17
hackUState,2015-11-06,2015-11-07
HackUTD,2016-03-26,2016-03-27
HackYSU,2015-04-17,2015-04-19
HackYSU,2016-02-05,2016-02-07
HackZürich,2015-10-02,2015-10-04
Hawkathon,2016-03-25,2016-03-26
health++,2016-11-05,2016-11-06
HealthTech Hackathon,2016-01-16,2016-01-17
HopHacks,2014-09-05,2014-09-07
HopHacks,2015-02-06,2015-02-08
HopHacks,2015-09-11,2015-09-13
HopHacks,2016-02-05,2016-02-07
HopHacks,2017-02-17,2017-02-19
Hoya Hacks,2016-01-29,2016-01-31
HoyaHacks,2016-11-04,2016-11-06
HSHacks II,2015-02-07,2015-02-08
Huskie Hack,2016-11-05,2016-11-06
Huskie Hack 2015,2015-09-26,2015-09-27
IC Hack,2015-02-07,2015-02-08
IDHack,2015-02-13,2015-02-14
India Solar Hackathon,2016-11-11,2016-11-12
InOut 2.0,2015-10-31,2015-11-01
InsurTech Hackathon,2016-10-28,2016-10-30
Invent:YU Israel,2016-10-29,2016-10-30
IrishHacks,2014-09-26,2014-09-28
IrishHacks,2016-01-22,2016-01-24
jacobsHack!,2015-10-17,2015-10-18
jacobsHack!,2016-10-15,2016-10-16
Junction 2016,2016-11-25,2016-11-27
Junction Hackathon,2015-11-06,2015-11-08
Kairos Hacks,2015-02-28,2015-03-01
Kent Hack Enough,2014-10-24,2014-10-26
Kent Hack Enough,2015-10-09,2015-10-11
Kent Hack Enough,2016-10-07,2016-10-09
Knight Hacks,2016-01-15,2016-01-16
LA Hacks,2015-04-11,2015-04-13
Lady Problems Hackathon,2016-10-08,2016-10-09
LAUNCH Hackathon,2016-02-26,2016-02-28
LauzHack,2016-11-19,2016-11-20
LeadingAge Hackfest,2014-10-18,2014-10-20
LeadingAge HackFest,2015-10-30,2015-11-01
LeisureHack,2016-10-22,2016-10-23
LexHack,2014-09-27,2014-09-27
LNMHacks,2016-10-21,2016-10-22
Local Hack Day,2014-12-06,2014-12-06
Los Altos Hacks,2016-01-30,2016-01-31
lumohacks,2016-09-17,2016-09-18
Madhacks,2015-04-17,2015-04-19
Make IT Wright,2015-04-11,2015-04-12
MakeMIT,2015-02-28,2015-02-28
Massey Hacks II,2016-05-21,2016-05-22
MasterCard N>XT,2014-10-04,2014-10-05
MavHack,2015-10-02,2015-10-03
McHacks,2014-11-07,2014-11-09
McHacks,2015-02-21,2015-02-22
McHacks,2017-01-28,2017-01-29
MedHacks 2.0,2016-09-23,2016-09-25
MedStart,2015-01-29,2015-02-01
MenloHacks,2016-04-16,2016-04-17
MHacks,2014-09-05,2014-09-07
MHacks 6,2015-09-11,2015-09-13
MHacks 7,2016-02-19,2016-02-21
MHacks 8,2016-10-07,2016-10-09
MHacks V,2015-01-16,2015-01-18
MIA Game Jam,2016-10-22,2016-10-23
Miami Bitcoin Hackathon,2015-01-09,2015-01-11
MinneHack,2016-01-28,2016-01-29
MiSK Hackathon: Medical Internet of Things,2016-11-25,2016-11-27
MLH Landing,2015-04-11,2015-04-12
MLH Launch Hack,2014-10-04,2014-10-05
MountainHacks,2015-02-27,2015-02-28
MX Hacks,2014-10-17,2014-10-19
MythicApps,2015-09-25,2015-09-27
New Era Hackathon,2016-11-11,2016-11-12
Ninja Hacks,2016-04-16,2016-04-17
Octane Hackathon,2017-01-09,2017-02-09
OHI/O,2014-10-03,2014-10-05
OHI/O 2015,2015-11-14,2015-11-15
Ohio State Makeathon 2016,2016-03-05,2016-03-06
Open Government WikiHack II,2014-09-27,2014-09-28
Output vs Output,2016-02-07,2016-02-13
OxfordHack,2016-11-19,2016-11-20
OxHACK,2014-11-29,2014-11-30
PearlHacks,2017-02-11,2017-02-12
PennApps X,2014-09-12,2014-09-14
PennApps XI,2015-01-16,2015-01-19
PennApps XII,2015-09-04,2015-09-06
PennApps XIV,2016-09-09,2016-09-11
PennApps XV,2017-01-20,2017-01-22
Piazza Hackathon,2015-08-08,2015-08-08
PilotPhilly,2015-01-30,2015-01-31
Pioneer's Makerthon,2016-02-20,2016-02-21
Prime Hack,2015-07-11,2015-07-12
ProfHacks 2017,2017-02-04,2017-02-05
Project 34,2015-05-02,2015-05-03
ProLiteracy Hackathon,2014-09-13,2014-09-14
Proximity Hackathon,2016-05-16,2016-06-30
Quack Hack,2016-01-15,2016-01-17
QuackCon,2016-10-14,2016-10-16
QueensHack,2016-04-23,2016-04-24
RamHacks,2014-11-08,2014-11-09
Ramhacks,2015-09-12,2015-09-13
RedbirdHacks,2015-04-25,2015-04-26
Reimagine Waste,2016-03-26,2016-03-27
Reimagine Waste,2016-04-02,2016-04-03
Revolution UC,2014-11-14,2014-11-16
Revolution UC,2016-04-16,2016-04-17
RevolutionUC,2015-05-15,2015-05-17
RevolutionUC Fall 2016,2016-10-08,2016-10-09
RiverHack 2016,2016-10-14,2016-10-15
Sage Pay Developer Meetup,2016-10-06,2016-10-06
SB Hacks,2015-01-30,2015-02-01
SB Hacks,2017-01-20,2017-01-22
SB Hacks II,2016-04-22,2016-04-24
SD Hacks,2015-02-27,2015-03-01
SD Hacks,2015-10-02,2015-10-04
SD Hacks,2016-09-30,2016-10-02
Seattle GiveCamp,2015-10-02,2015-10-04
Shiv Nadar University Hackathon,2016-11-05,2016-11-06
SM Hacks,2017-01-14,2017-01-15
Spacer Hackathon,2016-05-28,2016-05-29
SpartaHack,2015-03-27,2015-03-29
SpartaHack,2016-02-26,2016-02-28
SpartaHacks,2017-01-20,2017-01-22
SportsHack,2016-02-27,2016-02-28
Stacs Hack,2015-02-21,2015-02-22
START Hack,2016-03-11,2016-03-13
SteelHacks,2016-02-19,2016-02-21
SteelHacks,2017-02-10,2017-02-11
STEMHacks,2015-04-25,2015-04-26
StudentHack,2014-10-31,2014-11-02
StuyHacks,2016-05-28,2016-05-29
sudo HackStetson,2016-04-09,2016-04-10
SVHacks,2016-02-20,2016-02-21
SwampHacks,2016-01-23,2016-01-24
SwampHacks,2017-01-20,2017-01-22
TADHack London 2016,2016-10-15,2016-10-16
TAMUHack,2014-10-24,2014-10-25
Tech Retreat,2016-07-09,2016-07-10
TechCrunch Disrupt London Hackathon 2015,2015-12-05,2015-12-06
Technica,2015-11-07,2015-11-08
Technica,2016-11-05,2016-11-06
TeenHacks,2014-10-25,2014-10-26
TELHack,2015-11-06,2015-11-08
THacks,2014-11-22,2014-11-23
The Comcast NBCUniversal Hackathon,2015-03-28,2015-03-29
TreeHacks,2015-02-20,2015-02-22
TreeHacks,2016-02-12,2016-02-14
TreeHacks,2017-02-17,2017-02-19
tribeHacks,2016-04-01,2016-04-03
TunaHack,2015-08-07,2015-08-09
TVCOG Cleantech Hackathon,2016-10-15,2016-10-16
UB Hacking,2016-11-05,2016-11-06
UHack,2015-02-21,2015-02-22
Ultrahack 2016,2016-11-25,2016-11-27
Uncommon Hacks,2016-04-16,2016-04-17
Uncommon Hacks,2017-01-14,2017-01-15
Unhackathon,2014-09-20,2014-09-21
UofT Hacks,2017-01-20,2017-01-22
UofTHacks,2015-01-30,2015-02-01
Valley Hackathon,2016-01-15,2016-01-16
VandyHacks,2015-03-20,2015-03-22
VandyHacks,2015-10-02,2015-10-04
VolHacks,2016-09-30,2016-10-02
VTHacks,2015-02-06,2015-02-08
WarwickHACK 2.0,2015-03-07,2015-03-08
WearHacks Kitchener-Waterloo,2016-03-18,2016-03-20
WearHacks Paris,2016-04-15,2016-04-17
WearHacks Rome,2016-04-22,2016-04-24
WearHacks Toronto,2016-03-11,2016-03-13
WearHacks Tunis,2016-05-13,2016-05-15
WeCanCode Ensenada,2015-09-11,2015-09-12
WeCanCode Tijuana,2015-09-12,2015-09-13
WHACK,2016-10-01,2016-10-02
WicHacks,2017-02-25,2017-02-26
WildHacks,2014-11-22,2014-11-23
WildHacks,2015-11-21,2015-11-22
WildHacks,2016-11-18,2016-11-20
WUHack,2014-09-12,2014-09-14
WUHack,2015-09-18,2015-09-20
YCP Hacks,2016-10-21,2016-10-23
YHack,2014-10-31,2014-11-02
YHack 2015,2015-11-06,2015-11-08
YHack 2016,2016-11-11,2016-11-13
Zoohackathon,2016-10-07,2016-10-09
